date,hour,rides
2022-01-31,23,105
2022-02-01,0,116
2022-02-01,1,72
2022-02-01,2,43
2022-02-01,3,36
2022-02-01,4,47
2022-02-01,5,85
2022-02-01,6,195
2022-02-01,7,454
2022-02-01,8,687
2022-02-01,9,731
2022-02-01,10,720
2022-02-01,11,805
2022-02-01,12,800
2022-02-01,13,861
2022-02-01,14,900
2022-02-01,15,893
2022-02-01,16,1003
2022-02-01,17,947
2022-02-01,18,913
2022-02-01,19,636
2022-02-01,20,437
2022-02-01,21,314
2022-02-01,22,276
2022-02-01,23,204
2022-02-02,0,123
2022-02-02,1,48
2022-02-02,2,27
2022-02-02,3,19
2022-02-02,4,37
2022-02-02,5,76
2022-02-02,6,140
2022-02-02,7,261
2022-02-02,8,355
2022-02-02,9,309
2022-02-02,10,374
2022-02-02,11,374
2022-02-02,12,399
2022-02-02,13,384
2022-02-02,14,427
2022-02-02,15,466
2022-02-02,16,416
2022-02-02,17,523
2022-02-02,18,578
2022-02-02,19,497
2022-02-02,20,391
2022-02-02,21,347
2022-02-02,22,338
2022-02-02,23,245
2022-02-03,0,143
2022-02-03,1,70
2022-02-03,2,37
2022-02-03,3,38
2022-02-03,4,43
2022-02-03,5,82
2022-02-03,6,201
2022-02-03,7,393
2022-02-03,8,563
2022-02-03,9,579
2022-02-03,10,577
2022-02-03,11,625
2022-02-03,12,643
2022-02-03,13,626
2022-02-03,14,650
2022-02-03,15,794
2022-02-03,16,841
2022-02-03,17,926
2022-02-03,18,851
2022-02-03,19,712
2022-02-03,20,468
2022-02-03,21,422
2022-02-03,22,379
2022-02-03,23,302
2022-02-04,0,195
2022-02-04,1,95
2022-02-04,2,70
2022-02-04,3,31
2022-02-04,4,65
2022-02-04,5,110
2022-02-04,6,229
2022-02-04,7,450
2022-02-04,8,665
2022-02-04,9,687
2022-02-04,10,647
2022-02-04,11,715
2022-02-04,12,727
2022-02-04,13,750
2022-02-04,14,859
2022-02-04,15,959
2022-02-04,16,967
2022-02-04,17,1116
2022-02-04,18,1160
2022-02-04,19,1088
2022-02-04,20,771
2022-02-04,21,520
2022-02-04,22,551
2022-02-04,23,494
2022-02-05,0,411
2022-02-05,1,346
2022-02-05,2,234
2022-02-05,3,154
2022-02-05,4,111
2022-02-05,5,81
2022-02-05,6,123
2022-02-05,7,163
2022-02-05,8,219
2022-02-05,9,317
2022-02-05,10,446
2022-02-05,11,526
2022-02-05,12,558
2022-02-05,13,674
2022-02-05,14,607
2022-02-05,15,651
2022-02-05,16,642
2022-02-05,17,745
2022-02-05,18,869
2022-02-05,19,907
2022-02-05,20,600
2022-02-05,21,427
2022-02-05,22,497
2022-02-05,23,524
2022-02-06,0,495
2022-02-06,1,387
2022-02-06,2,316
2022-02-06,3,198
2022-02-06,4,128
2022-02-06,5,111
2022-02-06,6,104
2022-02-06,7,164
2022-02-06,8,208
2022-02-06,9,277
2022-02-06,10,336
2022-02-06,11,412
2022-02-06,12,474
2022-02-06,13,505
2022-02-06,14,535
2022-02-06,15,520
2022-02-06,16,500
2022-02-06,17,552
2022-02-06,18,543
2022-02-06,19,555
2022-02-06,20,457
2022-02-06,21,343
2022-02-06,22,294
2022-02-06,23,243
2022-02-07,0,197
2022-02-07,1,140
2022-02-07,2,88
2022-02-07,3,56
2022-02-07,4,78
2022-02-07,5,97
2022-02-07,6,212
2022-02-07,7,494
2022-02-07,8,702
2022-02-07,9,714
2022-02-07,10,739
2022-02-07,11,732
2022-02-07,12,749
2022-02-07,13,736
2022-02-07,14,778
2022-02-07,15,813
2022-02-07,16,895
2022-02-07,17,913
2022-02-07,18,807
2022-02-07,19,665
2022-02-07,20,464
2022-02-07,21,334
2022-02-07,22,291
2022-02-07,23,196
2022-02-08,0,151
2022-02-08,1,80
2022-02-08,2,39
2022-02-08,3,30
2022-02-08,4,46
2022-02-08,5,83
2022-02-08,6,208
2022-02-08,7,442
2022-02-08,8,741
2022-02-08,9,758
2022-02-08,10,725
2022-02-08,11,744
2022-02-08,12,869
2022-02-08,13,804
2022-02-08,14,843
2022-02-08,15,921
2022-02-08,16,958
2022-02-08,17,978
2022-02-08,18,901
2022-02-08,19,716
2022-02-08,20,501
2022-02-08,21,363
2022-02-08,22,320
2022-02-08,23,245
2022-02-09,0,119
2022-02-09,1,60
2022-02-09,2,35
2022-02-09,3,33
2022-02-09,4,47
2022-02-09,5,95
2022-02-09,6,219
2022-02-09,7,467
2022-02-09,8,738
2022-02-09,9,769
2022-02-09,10,721
2022-02-09,11,759
2022-02-09,12,793
2022-02-09,13,849
2022-02-09,14,826
2022-02-09,15,858
