date,hour,rides
2/15/2022,17,1050
2/15/2022,18,981
2/15/2022,19,783
2/15/2022,20,558
2/15/2022,21,375
2/15/2022,22,356
2/15/2022,23,226
2/16/2022,0,155
2/16/2022,1,77
2/16/2022,2,31
2/16/2022,3,35
2/16/2022,4,53
2/16/2022,5,100
2/16/2022,6,224
2/16/2022,7,482
2/16/2022,8,747
2/16/2022,9,794
2/16/2022,10,767
2/16/2022,11,790
2/16/2022,12,835
2/16/2022,13,881
2/16/2022,14,896
2/16/2022,15,899
2/16/2022,16,1006
2/16/2022,17,1116
2/16/2022,18,1050
2/16/2022,19,772
2/16/2022,20,574
2/16/2022,21,514
2/16/2022,22,449
2/16/2022,23,269
2/17/2022,0,195
2/17/2022,1,82
2/17/2022,2,44
2/17/2022,3,32
2/17/2022,4,50
2/17/2022,5,80
2/17/2022,6,219
2/17/2022,7,431
2/17/2022,8,644
2/17/2022,9,692
2/17/2022,10,670
2/17/2022,11,665
2/17/2022,12,771
2/17/2022,13,740
2/17/2022,14,802
2/17/2022,15,862
2/17/2022,16,823
2/17/2022,17,656
2/17/2022,18,641
2/17/2022,19,587
2/17/2022,20,482
2/17/2022,21,484
2/17/2022,22,451
2/17/2022,23,342
2/18/2022,0,284
2/18/2022,1,251
2/18/2022,2,191
2/18/2022,3,102
2/18/2022,4,88
2/18/2022,5,103
2/18/2022,6,251
2/18/2022,7,483
2/18/2022,8,714
2/18/2022,9,758
2/18/2022,10,779
2/18/2022,11,774
2/18/2022,12,865
2/18/2022,13,934
2/18/2022,14,965
2/18/2022,15,1084
2/18/2022,16,1124
2/18/2022,17,1205
2/18/2022,18,1282
2/18/2022,19,1213
2/18/2022,20,844
2/18/2022,21,641
2/18/2022,22,589
2/18/2022,23,582
2/19/2022,0,490
2/19/2022,1,399
2/19/2022,2,266
2/19/2022,3,159
2/19/2022,4,114
2/19/2022,5,94
2/19/2022,6,128
2/19/2022,7,181
2/19/2022,8,259
2/19/2022,9,414
2/19/2022,10,547
2/19/2022,11,649
2/19/2022,12,740
2/19/2022,13,699
2/19/2022,14,700
2/19/2022,15,709
2/19/2022,16,703
2/19/2022,17,768
2/19/2022,18,932
2/19/2022,19,884
2/19/2022,20,657
2/19/2022,21,542
2/19/2022,22,578
2/19/2022,23,508
2/20/2022,0,467
2/20/2022,1,404
2/20/2022,2,329
2/20/2022,3,202
2/20/2022,4,138
2/20/2022,5,106
2/20/2022,6,114
2/20/2022,7,147
2/20/2022,8,195
2/20/2022,9,358
2/20/2022,10,486
2/20/2022,11,546
2/20/2022,12,597
2/20/2022,13,588
2/20/2022,14,547
2/20/2022,15,661
2/20/2022,16,566
2/20/2022,17,606
2/20/2022,18,700
2/20/2022,19,634
2/20/2022,20,513
2/20/2022,21,431
2/20/2022,22,486
2/20/2022,23,373
2/21/2022,0,239
2/21/2022,1,159
2/21/2022,2,74
2/21/2022,3,66
2/21/2022,4,81
2/21/2022,5,118
2/21/2022,6,177
2/21/2022,7,302
2/21/2022,8,466
2/21/2022,9,555
2/21/2022,10,632
2/21/2022,11,693
2/21/2022,12,780
2/21/2022,13,765
2/21/2022,14,823
2/21/2022,15,869
2/21/2022,16,826
2/21/2022,17,785
2/21/2022,18,714
2/21/2022,19,617
2/21/2022,20,541
2/21/2022,21,407
2/21/2022,22,294
2/21/2022,23,253
2/22/2022,0,166
2/22/2022,1,98
2/22/2022,2,51
2/22/2022,3,36
2/22/2022,4,46
2/22/2022,5,84
2/22/2022,6,252
2/22/2022,7,559
2/22/2022,8,927
2/22/2022,9,865
2/22/2022,10,847
2/22/2022,11,802
2/22/2022,12,938
2/22/2022,13,920
2/22/2022,14,816
2/22/2022,15,931
2/22/2022,16,1034
2/22/2022,17,1085
2/22/2022,18,978
